French,English
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
mois,month
laisser,let
car,because
aucun,no
eux,them
chaque,each
arrivé,come
devrait,should
longtemps,long time
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
attention,Warning
pourrais,could
donner,give
type,type
leurs,their
corps,body
endroit,place
yeux,eyes
dont,whose
premier,first
perdu,lost
côté,side
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
enfin,finally
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
